ābcd, ābcd, ābcd, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d + abcd̄, bc + acd̄ + ab, bc + acd̄ + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d, bcd̄ + ābc + acd̄ + abc̄, ābc + acd̄ + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d + abcd, bc + acd̄ + ab, bc + acd̄ + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d, bc + acd̄ + ab, bc + acd̄ + ab, empty
ābcd̄ + ābcd + ab̄cd̄, ābc + ab̄cd̄, ābc + ab̄cd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd, bcd + ābc + ab̄cd̄ + abd, ābc + ab̄cd̄ + abd, bcd + ābc + ab̄cd̄
ābcd̄ + ābcd + ab̄cd̄, bcd + ābc + ab̄cd̄, ābc + ab̄cd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄, bcd̄ + ābc + acd̄ + abd̄, ābc + acd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄ + abcd, bc + acd̄ + ab, bc + acd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄, bc + acd̄ + ab, bc + acd̄, empty
ābcd̄ + ābcd + ab̄cd̄, bcd̄ + ābc + acd̄, ābc + acd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd, bc + acd̄ + ab, bc + acd̄, empty
ābcd̄ + ābcd + ab̄cd̄, bc + acd̄, bc + acd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, ābc + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd, bcd + ābc + acd + ab̄c, ābc + acd + ab̄c, bcd + ābc + ab̄c
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, bcd + ābc + acd + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd̄, bcd̄ + ābc + acd̄ + ab̄c, ābc + acd̄ + ab̄c, bcd̄ + ābc + ab̄c
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd̄ + abcd, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd̄, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, bcd̄ + ābc + acd̄ + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d, ābc + ab̄c + abc̄d, ābc + ab̄c + abc̄d, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d + abcd, bcd + ābc + acd + ab̄c + abd, ābc + ab̄c + abd, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d, bcd + ābc + acd + ab̄c + abd, ābc + ab̄c + abd, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abc̄d, ābc + acd̄ + ab̄c + abc̄d, bcd̄ + ābc + ab̄c + abc̄d
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d + abcd̄ + abcd, bc + ac + abd, bc + ac + abd, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d + abcd̄, bc + ac + abd, bc + ac + abd, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d, bcd̄ + ābc + acd̄ + ab̄c + abc̄d, ābc + ab̄c + abc̄d, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d + abcd, bc + ac + abd, bc + ac + abd, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d, bc + ac + abd, bc + ac + abd, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, ābc + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd, bcd + ābc + acd + ab̄c + abd, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, bcd + ābc + acd + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd̄, bcd̄ + ābc + acd̄ + ab̄c, ābc + acd̄ + ab̄c, bcd̄ + ābc + ab̄c
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd̄ + abcd, bc + ac + abd, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd̄, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, bcd̄ + ābc + acd̄ + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd, bc + ac + abd, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄, ābc + ab̄c + abc̄d̄, ābc + ab̄c + abc̄d̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, bcd + ābc + acd + ab̄c + abc̄d̄, ābc + acd + ab̄c + abc̄d̄, bcd + ābc + ab̄c + abc̄d̄
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄, bcd + ābc + acd + ab̄c + abc̄d̄, ābc + ab̄c + abc̄d̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄, ābc + ab̄c + abd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄ + abcd, bc + ac + abd̄, bc + ac + abd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, bc + ac + abd̄, bc + ac + abd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄, ābc + ab̄c + abd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, bc + ac + abd̄, bc + ac + abd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄, bc + ac + abd̄, bc + ac + abd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, ābc + ab̄c + abc̄, ābc + ab̄c + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd, bcd + ābc + acd + ab̄c + abd + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, bcd + ābc + acd + ab̄c + abd + abc̄, ābc + ab̄c + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd̄ + abcd, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd̄, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, bcd̄ + ābc + acd̄ + ab̄c + abd̄ + abc̄, ābc + ab̄c + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄, ābc + ab̄c + abc̄, ābc + ab̄c + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, bcd + ābc + acd + ab̄c + abd + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄, bcd + ābc + acd + ab̄c + abc̄, ābc + ab̄c + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄ + abcd, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄ + abc̄, ābc + ab̄c + abc̄, ābc + ab̄c + abd̄
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d̄, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, ābc + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd, bcd + ābc + acd + ab̄c, ābc + acd + ab̄c, bcd + ābc + ab̄c
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, bcd + ābc + acd + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd̄ + abcd, bc + ac + abd̄, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd̄, bc + ac + abd̄, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, bcd̄ + ābc + acd̄ + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d, ābc + ab̄c + abc̄, ābc + ab̄c + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d + abcd, bcd + ābc + acd + ab̄c + abd + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d, bcd + ābc + acd + ab̄c + abd + abc̄, ābc + ab̄c + abc̄, ābc + ab̄c + abd
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d + abcd̄ + abcd, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d + abcd̄, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d, bcd̄ + ābc + acd̄ + ab̄c + abc̄, ābc + ab̄c + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d + abcd, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abc̄d, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, ābc + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd, bcd + ābc + acd + ab̄c + abd, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, bcd + ābc + acd + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd̄ + abcd, bc + ac + ab, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd̄, bc + ac + ab, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, bcd̄ + ābc + acd̄ + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd + abcd, bc + ac + ab, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + ab̄cd, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄, ābc + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd, bcd + ābc + acd + ab̄c, ābc + acd + ab̄c, bcd + ābc + ab̄c
ābcd̄ + ābcd + ab̄cd̄, bcd + ābc + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄, bcd̄ + ābc + acd̄ + ab̄c, ābc + acd̄, bcd̄ + ābc + ab̄c
ābcd̄ + ābcd + ab̄cd̄ + abcd̄ + abcd, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄, bcd̄ + ābc + acd̄ + ab̄c, ābc + ab̄c, ābc + acd̄
ābcd̄ + ābcd + ab̄cd̄ + abcd, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d, ābc + ab̄c + abc̄d, ābc + ab̄c + abc̄d, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d + abcd, bcd + ābc + acd + ab̄c + abd, ābc + ab̄c + abd, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d, bcd + ābc + ab̄c + abd, ābc + ab̄c + abd, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abc̄d, ābc + acd̄ + abc̄d, bcd̄ + ābc + ab̄c + abc̄d
ābcd̄ + ābcd + ab̄cd̄ + abc̄d + abcd̄ + abcd, bc + ac + abd, bc + ac + abd, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d + abcd̄, bc + ac + abd, bc + ac + abd, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d, bcd̄ + ābc + acd̄ + ab̄c + abc̄d, ābc + ab̄c + abc̄d, ābc + acd̄ + abc̄d
ābcd̄ + ābcd + ab̄cd̄ + abc̄d + abcd, bc + ac + abd, bc + ac + abd, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d, bc + ac + abd, bc + ac + abd, empty
ābcd̄ + ābcd + ab̄cd̄, ābc + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd, bcd + ābc + acd + ab̄c + abd, empty, empty
ābcd̄ + ābcd + ab̄cd̄, bcd + ābc + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄, bcd̄ + ābc + acd̄ + ab̄c, ābc + acd̄, bcd̄ + ābc + ab̄c
ābcd̄ + ābcd + ab̄cd̄ + abcd̄ + abcd, bc + ac + abd, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄, bcd̄ + ābc + acd̄ + ab̄c, ābc + ab̄c, ābc + acd̄
ābcd̄ + ābcd + ab̄cd̄ + abcd, bc + ac + abd, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄, ābc + ab̄c + abc̄d̄, ābc + ab̄c + abc̄d̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abcd, bcd + ābc + acd + ab̄c + abc̄d̄, ābc + acd + ab̄c + abc̄d̄, bcd + ābc + ab̄c + abc̄d̄
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄, bcd + ābc + ab̄c + abc̄d̄, ābc + ab̄c + abc̄d̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄, ābc + ab̄c + abd̄, ābc + acd̄ + abd̄
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abcd̄ + abcd, bc + ac + abd̄, bc + ac + abd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abcd̄, bc + ac + abd̄, bc + ac + abd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄, ābc + ab̄c + abd̄, ābc + acd̄ + abd̄
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abcd, bc + ac + abd̄, bc + ac + abd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄, bc + ac + abd̄, bc + ac + abd̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abc̄d, ābc + ab̄c + abc̄, ābc + ab̄c + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abc̄d + abcd, bcd + ābc + acd + ab̄c + abd + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abc̄d, bcd + ābc + ab̄c + abd + abc̄, ābc + ab̄c + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄ + abcd, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abc̄d, bcd̄ + ābc + acd̄ + ab̄c + abd̄ + abc̄, ābc + ab̄c + abc̄, ābc + acd̄ + abc̄
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abc̄d + abcd, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abc̄d, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄, ābc + ab̄c + abc̄, ābc + ab̄c + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abcd, bcd + ābc + acd + ab̄c + abd + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄, bcd + ābc + ab̄c + abc̄, ābc + ab̄c + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abcd̄ + abcd, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abcd̄, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄ + abcd, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d̄, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄, ābc + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd, bcd + ābc + acd + ab̄c, ābc + acd + ab̄c, bcd + ābc + ab̄c
ābcd̄ + ābcd + ab̄cd̄, bcd + ābc + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄ + abcd, bc + ac + abd̄, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄, bc + ac + abd̄, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄, bcd̄ + ābc + acd̄ + ab̄c, ābc + ab̄c, ābc + acd̄
ābcd̄ + ābcd + ab̄cd̄ + abcd, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄, bc + ac, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d, ābc + ab̄c + abc̄, ābc + ab̄c + abc̄, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d + abcd, bcd + ābc + acd + ab̄c + abd + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d, bcd + ābc + ab̄c + abd + abc̄, ābc + ab̄c + abc̄, ābc + ab̄c + abd
ābcd̄ + ābcd + ab̄cd̄ + abc̄d + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d + abcd̄ + abcd, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d + abcd̄, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d, bcd̄ + ābc + acd̄ + ab̄c + abc̄, ābc + ab̄c + abc̄, ābc + acd̄ + abc̄
ābcd̄ + ābcd + ab̄cd̄ + abc̄d + abcd, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄ + abc̄d, bc + ac + ab, bc + ac + ab, empty
ābcd̄ + ābcd + ab̄cd̄, ābc + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd, bcd + ābc + acd + ab̄c + abd, empty, empty
ābcd̄ + ābcd + ab̄cd̄, bcd + ābc + ab̄c, ābc + ab̄c, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄, bcd̄ + ābc + acd̄ + ab̄c + abd̄, empty, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄ + abcd, bc + ac + ab, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄ + abcd̄, bc + ac + ab, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄, bcd̄ + ābc + acd̄ + ab̄c, ābc + ab̄c, ābc + acd̄
ābcd̄ + ābcd + ab̄cd̄ + abcd, bc + ac + ab, bc + ac, empty
ābcd̄ + ābcd + ab̄cd̄, bc + ac, bc + ac, empty
ābcd̄ + ābcd, ābc, ābc, empty
ābcd̄ + ābcd + abcd, bcd + ābc, bcd + ābc, empty
ābcd̄ + ābcd, bcd + ābc, ābc, empty
ābcd̄ + ābcd + abcd̄, bcd̄ + ābc + acd̄, ābc + acd̄, bcd̄ + ābc
ābcd̄ + ābcd + abcd̄ + abcd, bc + acd̄, bc, empty
ābcd̄ + ābcd + abcd̄, bc + acd̄, bc, empty
ābcd̄ + ābcd, bcd̄ + ābc, ābc, empty
ābcd̄ + ābcd + abcd, bc, bc, empty
ābcd̄ + ābcd, bc, bc, empty
ābcd̄ + ābcd + abc̄d, ābc + abc̄d, ābc + abc̄d, empty
ābcd̄ + ābcd + abc̄d + abcd, bcd + ābc + abd, ābc + abd, empty
ābcd̄ + ābcd + abc̄d, bcd + ābc + abd, ābc + abd, empty
ābcd̄ + ābcd + abc̄d + abcd̄, bcd̄ + ābc + acd̄ + abc̄d, ābc + acd̄ + abc̄d, bcd̄ + ābc + abc̄d
ābcd̄ + ābcd + abc̄d + abcd̄ + abcd, bc + acd̄ + abd, bc + abd, empty
ābcd̄ + ābcd + abc̄d + abcd̄, bc + acd̄ + abd, bc + abd, empty
ābcd̄ + ābcd + abc̄d, bcd̄ + ābc + abc̄d, ābc + abc̄d, empty
ābcd̄ + ābcd + abc̄d + abcd, bc + abd, bc + abd, empty
ābcd̄ + ābcd + abc̄d, bc + abd, bc + abd, empty
ābcd̄ + ābcd, ābc, ābc, empty
ābcd̄ + ābcd + abcd, bcd + ābc + abd, ābc + abd, bcd + ābc
ābcd̄ + ābcd, bcd + ābc, ābc, empty
ābcd̄ + ābcd + abcd̄, bcd̄ + ābc + acd̄, ābc + acd̄, bcd̄ + ābc
ābcd̄ + ābcd + abcd̄ + abcd, bc + acd̄ + abd, bc, empty
ābcd̄ + ābcd + abcd̄, bc + acd̄, bc, empty
ābcd̄ + ābcd, bcd̄ + ābc, ābc, empty
ābcd̄ + ābcd + abcd, bc + abd, bc, empty
ābcd̄ + ābcd, bc, bc, empty
ābcd̄ + ābcd + abc̄d̄, ābc + abc̄d̄, ābc + abc̄d̄, empty
ābcd̄ + ābcd + abc̄d̄ + abcd, bcd + ābc + abc̄d̄, bcd + ābc + abc̄d̄, empty
ābcd̄ + ābcd + abc̄d̄, bcd + ābc + abc̄d̄, ābc + abc̄d̄, empty
ābcd̄ + ābcd + abc̄d̄ + abcd̄, bcd̄ + ābc + acd̄ + abd̄, ābc + abd̄, empty
ābcd̄ + ābcd + abc̄d̄ + abcd̄ + abcd, bc + acd̄ + abd̄, bc + abd̄, empty
ābcd̄ + ābcd + abc̄d̄ + abcd̄, bc + acd̄ + abd̄, bc + abd̄, empty
ābcd̄ + ābcd + abc̄d̄, bcd̄ + ābc + abd̄, ābc + abd̄, empty
ābcd̄ + ābcd + abc̄d̄ + abcd, bc + abd̄, bc + abd̄, empty
ābcd̄ + ābcd + abc̄d̄, bc + abd̄, bc + abd̄, empty
ābcd̄ + ābcd + abc̄d̄ + abc̄d, ābc + abc̄, ābc + abc̄, empty
ābcd̄ + ābcd + abc̄d̄ + abc̄d + abcd, bcd + ābc + abd + abc̄, ābc + abd + abc̄, bcd + ābc + abc̄
ābcd̄ + ābcd + abc̄d̄ + abc̄d, bcd + ābc + abd + abc̄, ābc + abc̄, empty
ābcd̄ + ābcd + abc̄d̄ + abc̄d + abcd̄, bcd̄ + ābc + acd̄ + abd̄ + abc̄, empty, empty
ābcd̄ + ābcd + abc̄d̄ + abc̄d + abcd̄ + abcd, bc + acd̄ + ab, bc + ab, empty
ābcd̄ + ābcd + abc̄d̄ + abc̄d + abcd̄, bc + acd̄ + ab, bc + ab, empty
ābcd̄ + ābcd + abc̄d̄ + abc̄d, bcd̄ + ābc + abd̄ + abc̄, ābc + abc̄, empty
ābcd̄ + ābcd + abc̄d̄ + abc̄d + abcd, bc + ab, bc + ab, empty
ābcd̄ + ābcd + abc̄d̄ + abc̄d, bc + ab, bc + ab, empty
ābcd̄ + ābcd + abc̄d̄, ābc + abc̄, ābc + abc̄, empty
ābcd̄ + ābcd + abc̄d̄ + abcd, bcd + ābc + abd + abc̄, ābc + abd + abc̄, bcd + ābc + abc̄
ābcd̄ + ābcd + abc̄d̄, bcd + ābc + abc̄, ābc + abc̄, empty
ābcd̄ + ābcd + abc̄d̄ + abcd̄, bcd̄ + ābc + acd̄ + abd̄ + abc̄, empty, empty
ābcd̄ + ābcd + abc̄d̄ + abcd̄ + abcd, bc + acd̄ + ab, bc + ab, empty
ābcd̄ + ābcd + abc̄d̄ + abcd̄, bc + acd̄ + ab, bc + ab, empty
ābcd̄ + ābcd + abc̄d̄, bcd̄ + ābc + abd̄ + abc̄, ābc + abc̄, ābc + abd̄
ābcd̄ + ābcd + abc̄d̄ + abcd, bc + ab, bc + ab, empty
ābcd̄ + ābcd + abc̄d̄, bc + ab, bc + ab, empty
ābcd̄ + ābcd, ābc, ābc, empty
ābcd̄ + ābcd + abcd, bcd + ābc, bcd + ābc, empty
ābcd̄ + ābcd, bcd + ābc, ābc, empty
ābcd̄ + ābcd + abcd̄, bcd̄ + ābc + acd̄ + abd̄, empty, empty
ābcd̄ + ābcd + abcd̄ + abcd, bc + acd̄ + abd̄, bc, empty
