ābcd, ābcd, ābcd, empty
ābcd + ab̄cd̄, ābcd + ab̄cd̄, ābcd + ab̄cd̄, empty
ābcd + ab̄cd̄ + abcd, bcd + ab̄cd̄, bcd + ab̄cd̄, empty
ābcd + ab̄cd̄, bcd + ab̄cd̄, bcd + ab̄cd̄, empty
ābcd + ab̄cd̄ + abcd̄, ābcd + acd̄, ābcd + acd̄, empty
ābcd + ab̄cd̄ + abcd̄ + abcd, bcd + acd̄ + abc, bcd + acd̄, empty
ābcd + ab̄cd̄ + abcd̄, bcd + acd̄ + abc, bcd + acd̄, empty
ābcd + ab̄cd̄, ābcd + acd̄, ābcd + acd̄, empty
ābcd + ab̄cd̄ + abcd, bcd + acd̄ + abc, bcd + acd̄, empty
ābcd + ab̄cd̄, bcd + acd̄, bcd + acd̄, empty
ābcd + ab̄cd̄ + abc̄d, ābcd + ab̄cd̄ + abc̄d, ābcd + ab̄cd̄ + abc̄d, empty
ābcd + ab̄cd̄ + abc̄d + abcd, bcd + ab̄cd̄ + abd, bcd + ab̄cd̄ + abd, empty
ābcd + ab̄cd̄ + abc̄d, bcd + ab̄cd̄ + abd, bcd + ab̄cd̄ + abd, empty
ābcd + ab̄cd̄ + abc̄d + abcd̄, ābcd + acd̄ + abc̄d, ābcd + acd̄ + abc̄d, empty
ābcd + ab̄cd̄ + abc̄d + abcd̄ + abcd, bcd + acd̄ + abd + abc, bcd + acd̄ + abd, empty
ābcd + ab̄cd̄ + abc̄d + abcd̄, bcd + acd̄ + abd + abc, bcd + acd̄ + abd, empty
ābcd + ab̄cd̄ + abc̄d, ābcd + acd̄ + abc̄d, ābcd + acd̄ + abc̄d, empty
ābcd + ab̄cd̄ + abc̄d + abcd, bcd + acd̄ + abd + abc, bcd + acd̄ + abd, empty
ābcd + ab̄cd̄ + abc̄d, bcd + acd̄ + abd, bcd + acd̄ + abd, empty
ābcd + ab̄cd̄, ābcd + ab̄cd̄, ābcd + ab̄cd̄, empty
ābcd + ab̄cd̄ + abcd, bcd + ab̄cd̄ + abd, bcd + ab̄cd̄, empty
ābcd + ab̄cd̄, bcd + ab̄cd̄, bcd + ab̄cd̄, empty
ābcd + ab̄cd̄ + abcd̄, ābcd + acd̄, ābcd + acd̄, empty
