empty, 0, empty, empty
ābc̄ + ābc + ab̄c, āb + ab̄c, āb + ab̄c, empty
ābc̄ + ābc + ab̄c + abc, bc + āb + ac, āb + ac, empty
ābc̄ + ābc + ab̄c, bc + āb + ac, āb + ac, empty
ābc̄ + ābc + ab̄c + abc̄, bc̄ + āb + ab̄c, bc̄ + āb + ab̄c, empty
ābc̄ + ābc + ab̄c + abc̄ + abc, b + ac, b + ac, empty
ābc̄ + ābc + ab̄c + abc̄, b + ac, b + ac, empty
ābc̄ + ābc + ab̄c, bc̄ + āb + ab̄c, āb + ab̄c, empty
ābc̄ + ābc + ab̄c + abc, b + ac, b + ac, empty
ābc̄ + ābc + ab̄c, b + ac, b + ac, empty
ābc̄ + ābc, āb, āb, empty
ābc̄ + ābc + abc, bc + āb + ac, āb + ac, bc + āb
ābc̄ + ābc, bc + āb, āb, empty
ābc̄ + ābc + abc̄, bc̄ + āb, bc̄ + āb, empty
ābc̄ + ābc + abc̄ + abc, b + ac, b, empty
ābc̄ + ābc + abc̄, b, b, empty
ābc̄ + ābc, bc̄ + āb, āb, empty
ābc̄ + ābc + abc, b + ac, b, empty
ābc̄ + ābc, b, b, empty
ābc̄ + ābc + ab̄c̄, āb + ab̄c̄, āb + ab̄c̄, empty
ābc̄ + ābc + ab̄c̄ + abc, bc + āb + ab̄c̄, bc + āb + ab̄c̄, empty
ābc̄ + ābc + ab̄c̄, bc + āb + ab̄c̄, āb + ab̄c̄, empty
ābc̄ + ābc + ab̄c̄ + abc̄, bc̄ + āb + ac̄, āb + ac̄, empty
ābc̄ + ābc + ab̄c̄ + abc̄ + abc, b + ac̄, b + ac̄, empty
ābc̄ + ābc + ab̄c̄ + abc̄, b + ac̄, b + ac̄, empty
ābc̄ + ābc + ab̄c̄, bc̄ + āb + ac̄, āb + ac̄, empty
ābc̄ + ābc + ab̄c̄ + abc, b + ac̄, b + ac̄, empty
ābc̄ + ābc + ab̄c̄, b + ac̄, b + ac̄, empty
ābc̄ + ābc + ab̄c̄ + ab̄c, āb + ab̄, āb + ab̄, empty
ābc̄ + ābc + ab̄c̄ + ab̄c + abc, bc + āb + ac + ab̄, āb + ac + ab̄, bc + āb + ab̄
ābc̄ + ābc + ab̄c̄ + ab̄c, bc + āb + ac + ab̄, āb + ab̄, empty
ābc̄ + ābc + ab̄c̄ + ab̄c + abc̄, bc̄ + āb + ac̄ + ab̄, āb + ac̄ + ab̄, bc̄ + āb + ab̄
ābc̄ + ābc + ab̄c̄ + ab̄c + abc̄ + abc, b + a, b + a, empty
ābc̄ + ābc + ab̄c̄ + ab̄c + abc̄, b + a, b + a, empty
ābc̄ + ābc + ab̄c̄ + ab̄c, bc̄ + āb + ac̄ + ab̄, āb + ab̄, empty
ābc̄ + ābc + ab̄c̄ + ab̄c + abc, b + a, b + a, empty
ābc̄ + ābc + ab̄c̄ + ab̄c, b + a, b + a, empty
ābc̄ + ābc + ab̄c̄, āb + ab̄, āb + ab̄, empty
ābc̄ + ābc + ab̄c̄ + abc, bc + āb + ac + ab̄, āb + ac + ab̄, bc + āb + ab̄
ābc̄ + ābc + ab̄c̄, bc + āb + ab̄, āb + ab̄, empty
ābc̄ + ābc + ab̄c̄ + abc̄, bc̄ + āb + ac̄ + ab̄, āb + ac̄, bc̄ + āb + ab̄
ābc̄ + ābc + ab̄c̄ + abc̄ + abc, b + a, b + a, empty
ābc̄ + ābc + ab̄c̄ + abc̄, b + a, b + a, empty
ābc̄ + ābc + ab̄c̄, bc̄ + āb + ac̄ + ab̄, āb + ab̄, āb + ac̄
ābc̄ + ābc + ab̄c̄ + abc, b + a, b + a, empty
ābc̄ + ābc + ab̄c̄, b + a, b + a, empty
ābc̄ + ābc, āb, āb, empty
ābc̄ + ābc + abc, bc + āb, bc + āb, empty
ābc̄ + ābc, bc + āb, āb, empty
ābc̄ + ābc + abc̄, bc̄ + āb + ac̄, āb + ac̄, bc̄ + āb
ābc̄ + ābc + abc̄ + abc, b + ac̄, b, empty
ābc̄ + ābc + abc̄, b + ac̄, b, empty
ābc̄ + ābc, bc̄ + āb, āb, empty
ābc̄ + ābc + abc, b, b, empty
ābc̄ + ābc, b, b, empty
ābc̄ + ābc + ab̄c, āb + ab̄, āb + ab̄, empty
ābc̄ + ābc + ab̄c + abc, bc + āb + ac + ab̄, āb + ac, bc + āb + ab̄
ābc̄ + ābc + ab̄c, bc + āb + ac + ab̄, āb + ab̄, āb + ac
ābc̄ + ābc + ab̄c + abc̄, bc̄ + āb + ac̄ + ab̄, āb + ac̄ + ab̄, bc̄ + āb + ab̄
ābc̄ + ābc + ab̄c + abc̄ + abc, b + a, b + a, empty
ābc̄ + ābc + ab̄c + abc̄, b + a, b + a, empty
ābc̄ + ābc + ab̄c, bc̄ + āb + ab̄, āb + ab̄, empty
ābc̄ + ābc + ab̄c + abc, b + a, b + a, empty
ābc̄ + ābc + ab̄c, b + a, b + a, empty
ābc̄ + ābc, āb, āb, empty
ābc̄ + ābc + abc, bc + āb + ac, āb + ac, bc + āb
ābc̄ + ābc, bc + āb, āb, empty
ābc̄ + ābc + abc̄, bc̄ + āb + ac̄, āb + ac̄, bc̄ + āb
ābc̄ + ābc + abc̄ + abc, b + a, b, empty
ābc̄ + ābc + abc̄, b + a, b, empty
ābc̄ + ābc, bc̄ + āb, āb, empty
ābc̄ + ābc + abc, b + a, b, empty
ābc̄ + ābc, b, b, empty
ābc̄, āb, āb, empty
ābc̄ + abc, bc + āb, bc + āb, empty
ābc̄, āb, āb, empty
ābc̄ + abc̄, bc̄ + āb, bc̄, empty
ābc̄ + abc̄ + abc, b, b, empty
ābc̄ + abc̄, b, b, empty
ābc̄, bc̄ + āb, āb, bc̄
ābc̄ + abc, b, b, empty
ābc̄, b, b, empty
ābc̄ + ab̄c, āb + ab̄c, āb + ab̄c, empty
ābc̄ + ab̄c + abc, bc + āb + ac, āb + ac, empty
ābc̄ + ab̄c, āb + ac, āb + ac, empty
ābc̄ + ab̄c + abc̄, bc̄ + āb + ab̄c, bc̄ + ab̄c, empty
ābc̄ + ab̄c + abc̄ + abc, b + ac, b + ac, empty
ābc̄ + ab̄c + abc̄, b + ac, b + ac, empty
ābc̄ + ab̄c, bc̄ + āb + ab̄c, āb + ab̄c, bc̄ + ab̄c
ābc̄ + ab̄c + abc, b + ac, b + ac, empty
ābc̄ + ab̄c, b + ac, b + ac, empty
ābc̄, āb, āb, empty
ābc̄ + abc, bc + āb + ac, āb + ac, bc + āb
ābc̄, āb, āb, empty
ābc̄ + abc̄, bc̄ + āb, bc̄, empty
ābc̄ + abc̄ + abc, b + ac, b, empty
ābc̄ + abc̄, b, b, empty
ābc̄, bc̄ + āb, āb, bc̄
ābc̄ + abc, b + ac, b, empty
ābc̄, b, b, empty
ābc̄ + ab̄c̄, āb + ab̄c̄, āb + ab̄c̄, empty
ābc̄ + ab̄c̄ + abc, bc + āb + ab̄c̄, bc + āb + ab̄c̄, empty
ābc̄ + ab̄c̄, āb + ab̄c̄, āb + ab̄c̄, empty
ābc̄ + ab̄c̄ + abc̄, bc̄ + āb + ac̄, āb + ac̄, bc̄ + ac̄
ābc̄ + ab̄c̄ + abc̄ + abc, b + ac̄, b + ac̄, empty
ābc̄ + ab̄c̄ + abc̄, b + ac̄, b + ac̄, empty
ābc̄ + ab̄c̄, bc̄ + āb + ac̄, āb + ac̄, bc̄ + ac̄
ābc̄ + ab̄c̄ + abc, b + ac̄, b + ac̄, empty
ābc̄ + ab̄c̄, b + ac̄, b + ac̄, empty
ābc̄ + ab̄c̄ + ab̄c, āb + ab̄, āb + ab̄, empty
ābc̄ + ab̄c̄ + ab̄c + abc, bc + āb + ac + ab̄, āb + ac + ab̄, bc + āb + ab̄
ābc̄ + ab̄c̄ + ab̄c, āb + ac + ab̄, āb + ab̄, empty
ābc̄ + ab̄c̄ + ab̄c + abc̄, bc̄ + āb + ac̄ + ab̄, āb + ac̄ + ab̄, bc̄ + ab̄
ābc̄ + ab̄c̄ + ab̄c + abc̄ + abc, b + a, b + a, empty
ābc̄ + ab̄c̄ + ab̄c + abc̄, b + a, b + a, empty
ābc̄ + ab̄c̄ + ab̄c, bc̄ + āb + ac̄ + ab̄, āb + ab̄, bc̄ + ab̄
ābc̄ + ab̄c̄ + ab̄c + abc, b + a, b + a, empty
ābc̄ + ab̄c̄ + ab̄c, b + a, b + a, empty
ābc̄ + ab̄c̄, āb + ab̄, āb + ab̄, empty
ābc̄ + ab̄c̄ + abc, bc + āb + ac + ab̄, āb + ac + ab̄, bc + āb + ab̄
ābc̄ + ab̄c̄, āb + ab̄, āb + ab̄, empty
ābc̄ + ab̄c̄ + abc̄, bc̄ + āb + ac̄ + ab̄, empty, empty
ābc̄ + ab̄c̄ + abc̄ + abc, b + a, b + a, empty
ābc̄ + ab̄c̄ + abc̄, b + a, b + a, empty
ābc̄ + ab̄c̄, bc̄ + āb + ac̄ + ab̄, empty, empty
ābc̄ + ab̄c̄ + abc, b + a, b + a, empty
ābc̄ + ab̄c̄, b + a, b + a, empty
ābc̄, āb, āb, empty
ābc̄ + abc, bc + āb, bc + āb, empty
ābc̄, āb, āb, empty
ābc̄ + abc̄, bc̄ + āb + ac̄, āb + ac̄, bc̄
ābc̄ + abc̄ + abc, b + ac̄, b, empty
ābc̄ + abc̄, b + ac̄, b, empty
ābc̄, bc̄ + āb, āb, bc̄
ābc̄ + abc, b, b, empty
ābc̄, b, b, empty
ābc̄ + ab̄c, āb + ab̄, āb + ab̄, empty
ābc̄ + ab̄c + abc, bc + āb + ac + ab̄, āb + ac, bc + āb + ab̄
ābc̄ + ab̄c, āb + ac + ab̄, āb + ab̄, āb + ac
ābc̄ + ab̄c + abc̄, bc̄ + āb + ac̄ + ab̄, āb + ac̄ + ab̄, bc̄ + ab̄
ābc̄ + ab̄c + abc̄ + abc, b + a, b + a, empty
